Lost Grove	Courtland	TRUE	4888810	4888810	LATIN	LATIN	US	US
Madrasat al Manar ath Thanawiyah	Madrasat Ahmad Bin Rashid at Ta'sisiyah	FALSE	8045568	8045569	LATIN	LATIN	AE	AE
Witbank Kop	Witbank	TRUE	3359939	3359939	LATIN	LATIN	ZA	ZA
The Farmers	Pebble Brook	FALSE	4955259	4955260	LATIN	LATIN	US	US
Brown Kūn	Brown Kun	TRUE	5019385	5019385	LATIN	LATIN	US	US
Mansfield Center	Mansfield	FALSE	4838203	4838206	LATIN	LATIN	US	US
Ar Rashidiyah	alrashdyt	TRUE	8052075	8052075	LATIN	LATIN	AE	AE
Kūh-e Zūl	Zuhrān-e Qarah	FALSE	1120528	1120529	LATIN	LATIN	AF	AF
Mineral Hill	Horse Hill	TRUE	4944219	4944219	LATIN	LATIN	US	US
Chilima	Chileki	FALSE	919593	919602	LATIN	LATIN	ZM	ZM
Shaylah-ye Zari	Shaylah-ye Zārī	TRUE	1120857	1120857	LATIN	LATIN	AF	AF
Gehring and Gumz Lateral	Geneva	FALSE	4920652	4920664	LATIN	LATIN	US	US
Injisuthi	Injesuthi	TRUE	9403551	9403551	LATIN	LATIN	ZA	ZA
Col Dyke Field	Pemaquid Restoration and Museum	FALSE	4961300	4961301	LATIN	LATIN	US	US
Drummond Island Airport	KDRM	TRUE	4991195	4991195	LATIN	LATIN	US	US
Wildebeest	Blaauwater	FALSE	1018336	1018339	LATIN	LATIN	ZA	ZA
Children's Hospital Boston at Waltham	Waltham Weston Hospital and Medical Center	TRUE	4954398	4954398	LATIN	LATIN	US	US
Ina Grays Island	Cebeas Island	FALSE	4965701	4965722	LATIN	LATIN	US	US
Abbots Run	Abbott Run Brook	TRUE	4928649	4928649	LATIN	LATIN	US	US
Parrott Cemetery	Payne	FALSE	4870774	4870832	LATIN	LATIN	US	US
Wamphassuck Neck	Woonpasbuck	TRUE	4845090	4845090	LATIN	LATIN	US	US
Lake of the Hollow	Brandt Landing Strip	FALSE	4885458	4885468	LATIN	LATIN	US	US
Williamsville Fire Department	Williamsville Fire Engine Company	TRUE	4845822	4845822	LATIN	LATIN	US	US
Ras Khumeis	Al Khulaybiyah	FALSE	291670	291672	LATIN	LATIN	AE	AE
Graveyard Pond	Brainerd Pond	TRUE	4832933	4832933	LATIN	LATIN	US	US
Mujiji	Magute	FALSE	885406	885422	LATIN	LATIN	ZW	ZW
Senenji	Selenje	TRUE	898963	898963	LATIN	LATIN	ZM	ZM
Megeshiţ	Muqaţţarah	FALSE	291353	291354	LATIN	LATIN	AE	AE
Lyuuwa	Liuwa Plain	TRUE	910117	910117	LATIN	LATIN	ZM	ZM
Andrewsia	anghwla	FALSE	4917606	4917614	LATIN	LATIN	US	US
Eldorado Cemetery	Thompson Cemetery	TRUE	4872009	4872009	LATIN	LATIN	US	US
Norumbega Mountain Trail	Norvej	FALSE	4973839	4973840	LATIN	LATIN	US	US
Lanseria International Airport	lanselia gugjegonghang	TRUE	6296903	6296903	LATIN	LATIN	ZA	ZA
Western Michigan University	wystland	FALSE	5014676	5014681	LATIN	LATIN	US	US
Cranberry Meadow Brook	Malt House Brook	TRUE	4838161	4838161	LATIN	LATIN	US	US
Seecombe Brook	Secunke	FALSE	4950536	4950541	LATIN	LATIN	US	US
Chusetown	Humphreysville	TRUE	4842835	4842835	LATIN	LATIN	US	US
Spurlings Rock	Scopan	FALSE	4979641	4979651	LATIN	LATIN	US	US
Het Kerhof van Holland Cemetery	Holland Township Cemetery	TRUE	5005687	5005687	LATIN	LATIN	US	US
Manistic River	ISQ	FALSE	5000620	5000625	LATIN	LATIN	US	US
Little Brewster Island	House Island	TRUE	4942132	4942132	LATIN	LATIN	US	US
Township of Ironwood	Point Iroquois	FALSE	4997251	4997256	LATIN	LATIN	US	US
Tawi Bin Shoma	Ţawī Bin Shoma	TRUE	292453	292453	LATIN	LATIN	AE	AE
Middle Hardwood Island	Middle Springy Pond	FALSE	4971954	4971992	LATIN	LATIN	US	US
Kings Chapel	King's Chapel Unitarian Church	TRUE	4941351	4941351	LATIN	LATIN	US	US
Hshezwa	Tshayamavudsi	FALSE	879928	879939	LATIN	LATIN	ZW	ZW
Chicago/Aurora Municipal Airport	AUZ	TRUE	4883831	4883831	LATIN	LATIN	US	US
Township of Muskegon	Nodoway Point	FALSE	5003150	5003205	LATIN	LATIN	US	US
South Speectacle Pond	South Spectial Pond	TRUE	4843337	4843337	LATIN	LATIN	US	US
Bloom Presbyterian Cemetery	Blumingdejl	FALSE	4885147	4885156	LATIN	LATIN	US	US
Shuru Shuru River	Shuroshuru	TRUE	881166	881166	LATIN	LATIN	ZW	ZW
Ance Quiaonam	Comté de Keweenaw	FALSE	4998063	4998067	LATIN	LATIN	US	US
Ar Rab` al Khali	Empty Quarter	TRUE	102788	102788	LATIN	LATIN	AE	AE
South O'Brien Elementary School Primghar Center	Skunk River	FALSE	4876975	4877018	LATIN	LATIN	US	US
Bashapish Mountain	Bashbish Mountain	TRUE	4929859	4929859	LATIN	LATIN	US	US
Tawi Nubaybigh	Tawi Nezwa	FALSE	291217	291224	LATIN	LATIN	AE	AE
Kamaggasrivier	Komaggas River	TRUE	3365281	3365281	LATIN	LATIN	ZA	ZA
Kaiala	Nahunwa	FALSE	902367	902386	LATIN	LATIN	ZM	ZM
Sebasco Estates	Sebasco	TRUE	4978141	4978141	LATIN	LATIN	US	US
Port de Boston	Boston Harbor Islands National Recreation Area	FALSE	4930983	4930984	LATIN	LATIN	US	US
la pwrt syty  aywwa	La Porteh Siti	TRUE	4863820	4863820	LATIN	LATIN	US	US
Río de Os	Collada dels Clots de la Tora	FALSE	3109332	3124937	LATIN	LATIN	AD	AD
Zeker Khel	Z̄ekeṟ Khēl	TRUE	1120729	1120729	LATIN	LATIN	AF	AF
Chisangasi	Chisangwa	FALSE	918414	918421	LATIN	LATIN	ZM	ZM
tawnznd  masachwst	Centreville	TRUE	4953221	4953221	LATIN	LATIN	US	US
Mapenkima Pool	Mpoko River	FALSE	887201	887227	LATIN	LATIN	ZW	ZW
Tossa Plana de Lles	Tosal Plane	TRUE	3039426	3039426	LATIN	LATIN	AD	AD
Dzekson	Dzhekson	FALSE	4997384	4997389	LATIN	LATIN	US	US
Mpatamatu Hills	Mpatamato Hills	TRUE	905888	905888	LATIN	LATIN	ZM	ZM
Da'irat al Baladiyat wa az Zira`ah	Markaz Raqābat Aghdhiyah wa al Bī’ah	FALSE	8053922	8053924	LATIN	LATIN	AE	AE
Simmons Rock College	Simons Rock Early College	TRUE	4951003	4951003	LATIN	LATIN	US	US
North Manitou Island	North Selkirk Lake	FALSE	5003801	5003869	LATIN	LATIN	US	US
Judy Cemetery	WhartonCemetery	TRUE	4881902	4881902	LATIN	LATIN	US	US
Haveners Ledge	Isle Au Haute	FALSE	4966715	4966720	LATIN	LATIN	US	US
Tawi Mahaytha	Ţawī Mahaytha	TRUE	291560	291560	LATIN	LATIN	AE	AE
Jaww Jahlan	Sufuq	FALSE	105479	108060	LATIN	LATIN	AE	AE
Dubai Metropolitan Hotel	Funduq Dubayy Mitrūbūlītān	TRUE	8225611	8225611	LATIN	LATIN	AE	AE
Old Cedar Swamp	Canaan Falls	FALSE	4835273	4835291	LATIN	LATIN	US	US
vestaporta	wstpwrt  kntykt	TRUE	4845585	4845585	LATIN	LATIN	US	US
Boboyi River	Isanhlunhlu River	FALSE	1018154	1018155	LATIN	LATIN	ZA	ZA
Umboe Peak	Umboe	TRUE	879743	879743	LATIN	LATIN	ZW	ZW
Carretera General Número Duo	Pic de Noé	FALSE	3039726	3039731	LATIN	LATIN	AD	AD
Wenham Station	Wenham and Hamilton Station	TRUE	4951411	4951411	LATIN	LATIN	US	US
Monistic River	Mullett Lake Cemetery	FALSE	5000629	5000700	LATIN	LATIN	US	US
Zawīntūy Ghar	Gory Zhavintoyl'gar	TRUE	1120770	1120770	LATIN	LATIN	AF	AF
Impisi	Ingusi	FALSE	889888	889912	LATIN	LATIN	ZW	ZW
Al Markaz adh Dhahabī	almrkz aldhhby	TRUE	8134167	8134167	LATIN	LATIN	AE	AE
Hamilton Park	Pottsville	FALSE	4833745	4833772	LATIN	LATIN	US	US
Kalalangabo	Kalialangabwe	TRUE	915454	915454	LATIN	LATIN	ZM	ZM
Zōr Khaḏo	Zundikheyl'	FALSE	1120546	1120547	LATIN	LATIN	AF	AF
Ar Ra’s al Akhḑar	alras alakhdr	TRUE	8052381	8052381	LATIN	LATIN	AE	AE
