gram	count
creeks	2676
creeke	2676
creek	2676
san	2029
school	1898
schools	1898
rio	1651
rios	1651
church	1556
churches	1556
lakes	1260
lake	1260
river	1026
rivers	1026
cemetery	972
cemeteries	972
station	888
stations	888
dels	798
del	798
island	771
islands	771
point	745
points	745
pointed	745
pointe	745
santa	734
santas	734
wei	706
lei	687
airport	672
los	661
reservation	660
reserve	660
sainte	626
saint	626
saints	626
las	562
lai	559
lais	559
baye	535
bay	535
bays	535
springs	517
spring	517
arroyo	477
elementary	471
mountain	467
mountains	467
fire	456
caserio	443
caserios	443
rivieres	441
rivier	441
riviere	441
luo	436
maria	428
mariae	428
marias	428
parks	427
park	427
parking	427
parke	427
cerro	420
cerros	420
township	413
townships	413
pond	392
ponds	392
historical	391
historic	391
sheng	387
hille	386
hill	386
hills	386
city	381
indienne	380
canadas	375
canada	375
josee	375
jose	375
high	374
highs	374
forks	371
fork	371
forked	371
poste	368
post	368
postes	368
mount	363
bei	362
akra	360
methodist	346
district	346
districts	346
districte	346
mill	336
mille	336
mills	336
gmina	331
branche	308
branch	308
county	307
centers	307
center	307
office	306
ovre	292
stantsiya	282
indian	281
indians	281
grande	279
grand	279
grandes	279
baptiste	276
baptist	276
rancho	276
ranchos	276
north	273
norths	273
ormos	273
comuna	267
punta	259
stora	252
storas	252
west	252
south	245
hospitals	245
hospital	245
town	244
townes	244
towne	244
towns	244
store	243
valley	243
pans	238
pan	238
seccion	237
departement	237
department	237
reka	236
newe	235
new	235
stanica	235
sais	234
sai	234
comune	232
comun	232
landli	221
landes	221
landing	221
land	221
lands	221
run	220
runs	220
running	220
state	217
states	217
cape	215
canyon	212
longness	212
long	212
longs	212
middle	209
college	206
east	204
punkts	204
punkt	204
number	203
chapel	198
forte	196
fort	196
littl	196
littles	196
little	196
mei	194
langeli	194
lange	194
lang	194
portes	194
porte	194
port	194
brooking	192
brookings	192
brook	192
brooks	192
brooke	192
senli	190
sen	190
sens	190
les	188
municipal	186
municipality	186
nei	184
rocks	183
rock	183
grove	183
groves	183
juan	181
juanes	181
sant	181
sante	181
sants	181
santes	181
olde	178
old	178
nisis	177
nisi	177
mengeli	177
meng	177
estacion	176
quebradas	176
quebrada	176
tai	176
peake	173
peak	173
peaked	173
peaks	173
nordre	172
kun	169
lan	169
big	169
bigs	169
duo	164
sodra	164
rayon	164
bad	163
field	163
fielding	163
fields	163
comtes	162
comte	162
ostra	161
montes	159
mont	159
monts	159
monte	159
beaches	158
beach	158
gorad	155
reservoir	153
reservoirs	153
lomas	153
loma	153
bridge	151
bridges	151
fei	151
unite	151
united	151
unit	151
unitate	151
villages	149
village	149
nuo	149
condado	148
der	148
agio	146
agios	146
quan	145
mine	145
mining	145
mines	145
union	144
martins	143
martin	143
canal	143
canals	143
canale	143
canales	143
genlis	141
gen	141
tuo	141
lilla	140
numero	139
sent	139
cove	139
ozero	138
pedro	138
houses	137
