gram	count
school	3786
cemetery	3588
river	2999
lake	2983
pond	2560
brook	1698
island	1634
hill	1372
creek	1209
saint	1154
township	1149
point	985
church	954
airport	857
high	843
town	733
elementary	705
post	690
office	689
wadi	560
center	538
park	518
west	490
cove	481
tawi	472
east	455
north	446
bay	430
middle	428
station	418
college	416
south	412
branch	407
village	401
mountain	383
little	358
city	343
state	338
harbor	323
hospital	320
reservoir	318
county	304
masachwst	299
fire	290
ditch	282
junior	279
catholic	277
rock	276
jabal	276
mill	272
field	271
mount	269
historical	260
land	258
madrasat	254
community	253
number	247
memorial	246
ras	246
comte	245
grove	244
area	242
old	239
new	233
bank	233
neck	233
department	228
beach	228
big	228
umm	227
reserve	215
aywwa	215
condado	203
great	200
municipal	197
stream	197
hills	192
university	190
ash	188
centre	186
quan	183
dam	178
methodist	177
bridge	176
head	176
falls	174
ar	172
valley	172
dubayy	168
markaz	165
abu	164
ledge	160
corner	158
john	157
medical	156
central	153
lutheran	153
charter	152
forest	152
marys	151
light	147
landing	146
ghar	145
united	142
mills	142
myshygan	140
wa	140
baptist	133
house	128
pan	127
lakes	124
district	124
sayh	124
plantation	123
swamp	122
funduq	122
fort	121
khawr	120
museum	120
division	119
episcopal	119
kohe	116
meadow	114
academy	114
pleasant	114
johns	112
corners	112
national	111
comitatul	110
regional	108
okrug	107
union	106
farm	106
green	104
senior	104
nadi	103
lower	103
dubai	102
ridge	102
long	101
black	101
jazirat	101
trust	101
native	101
wildlife	100
street	100
aylynwy	98
chicago	98
pic	98
lighthouse	97
cape	96
contea	95
tribal	95
upper	95
zaby	94
prairie	94
institute	94
campus	93
international	93
xian	93
megye	92
jun	92
first	91
maine	91
shhrstan	90
grand	89
zard	88
masjid	88
indian	88
purchase	87
white	87
ziarat	87
port	86
kaunti	85
pine	84
hrabstwo	83
washington	83
suq	81
twin	81
cedar	81
boston	81
mdrst	81
isle	81
fork	80
bnk	80
technical	80
chapel	80
mission	80
mile	80
w	79
oak	79
peak	78
konderria	78
hall	77
strip	77
ground	75
health	75
ibtidaiyah	75
club	74
ke	73
mrkz	72
lil	72
beaver	71
iowa	71
watani	71
islands	71
ath	70
syty	69
mintaqat	69
dby	69
plain	69
mud	68
volunteer	67
joseph	67
kuhe	67
blue	66
communal	66
drain	65
range	64
seminary	64
public	64
hotel	64
roman	64
woods	63
zar	63
juniorsenior	62
smith	62
siding	62
srjan	62
xue	61
mandeh	61
ponds	60
run	60
mountains	60
zayid	60
pass	59
company	59
marsh	59
khor	59
michigan	59
western	58
josephs	58
rocks	58
fish	58
trail	58
dawwar	58
christ	58
peters	57
lincoln	57
rapids	57
kop	57
sable	56
spring	56
siti	56
mary	56
grant	55
primary	55
junction	55
german	55
management	55
riviere	55
hadiqat	55
road	55
baladiyat	55
zrd	54
pauls	54
shaykh	53
interchange	53
brown	53
normal	53
bid	53
thompson	52
side	52
ali	52
ferry	52
fujayrah	51
b	51
sabkhat	51
